epoch,accuracy,loss,val_accuracy,val_loss
0,0.9347801804542542,0.23432494699954987,0.9772475957870483,0.05928228050470352
1,0.9792081117630005,0.06172199919819832,0.9871879816055298,0.03275309503078461
2,0.984923779964447,0.043767429888248444,0.9889551401138306,0.034226153045892715
3,0.988679051399231,0.03300488367676735,0.9897282719612122,0.02538282796740532
4,0.9919096827507019,0.02477150410413742,0.9899491667747498,0.03290300816297531
5,0.9931522011756897,0.022082079201936722,0.9900596141815186,0.02981831692159176
6,0.9942014813423157,0.01796104945242405,0.9940357804298401,0.019990509375929832
7,0.9951402544975281,0.01617812179028988,0.9965760707855225,0.011081601493060589
8,0.9960238337516785,0.012905395589768887,0.9992268681526184,0.0046631707809865475
9,0.9962447285652161,0.012509984895586967,0.9980119466781616,0.00595884257927537
10,0.9970731139183044,0.010145018808543682,0.9991164207458496,0.0030224639922380447
11,0.9966313242912292,0.010382024571299553,0.9956924915313721,0.014442939311265945
12,0.9970455169677734,0.009455001913011074,0.9940357804298401,0.019892888143658638
13,0.9976253509521484,0.0081641785800457,0.9997791051864624,0.0012497463030740619
14,0.9975977540016174,0.008121578022837639,0.9995582103729248,0.0018961242167279124
15,0.99839848279953,0.006024388130754232,0.9967970252037048,0.009225897490978241
16,0.9979842901229858,0.006511992309242487,0.998343288898468,0.005060570780187845
17,0.9980947375297546,0.006878950633108616,0.9984537363052368,0.002841313136741519
18,0.9982051849365234,0.005733474623411894,0.9990059733390808,0.002619544044137001
